HIP,RAJ2000,DEJ2000,Dist,Teff,mag,Lum,Mass,Rad,CHZ,OHZ,plx
63892,13 05 40.9157,+64 36 45.3015,270.0,6861,9.314,11.3,1.5,2.4,2.2,3.0,3.67
63893,13 05 41.2561,+65 40 07.9913,98.0,6055,8.6589,3.0,1.19,1.6,1.2,1.7,10.18
63897,13 05 42.6588,-12 22 11.9203,240.0,6363,9.2043,11.0,1.4,2.7,2.3,3.0,4.14
63898,13 05 43.5797,+18 32 19.6587,107.0,5974,8.5564,3.8,1.14,1.8,1.4,1.9,9.37
63903,13 05 45.7944,-18 15 34.5690,85.0,6512,7.164,8.8,1.4,2.3,2.0,3.0,11.81
63905,13 05 46.2830,-18 49 32.9707,44.0,5824,8.5087,0.78,1.07,0.87,0.6,0.9,22.49
63906,13 05 46.6712,-66 21 03.4115,160.0,6187,9.3641,4.5,1.3,1.8,1.5,2.1,6.15
63909,13 05 47.6612,+52 28 24.2843,74.0,5912,9.2236,1.0,1.11,0.98,0.7,1.0,13.48
63910,13 05 47.8521,+22 54 02.1543,170.0,6539,10.4874,1.6,1.4,0.98,0.8,1.2,5.92
63911,13 05 48.2044,-65 30 46.6012,214.0,4862,10.436,5.4,0.76,3.3,1.9,3.0,4.67
63912,13 05 48.6403,+53 26 31.0975,100.0,6390,9.0267,2.18,1.4,1.21,1.0,1.4,9.75
63913,13 05 49.1490,-49 10 38.8423,830.0,5627,10.6171,40.0,0.99,6.7,5.0,7.0,1.2
63917,13 05 52.8536,-30 46 05.2067,100.0,5711,9.6509,1.5,1.0,1.23,0.9,1.2,9.88
63921,13 05 58.2607,+22 57 08.0264,113.0,5948,9.5277,1.8,1.13,1.3,0.95,1.3,8.82
63923,13 05 59.2946,+14 50 22.2186,97.0,5900,8.7784,2.6,1.11,1.5,1.2,1.6,10.31
63925,13 05 59.6866,-68 34 18.0903,170.0,5987,9.596,4.14,1.15,1.9,1.4,2.0,5.86
63926,13 06 00.7596,+48 01 41.3400,400.0,6748,8.3387,59.0,1.5,5.6,5.0,7.0,2.49
63927,13 06 01.8802,+12 47 30.2572,280.0,5815,11.128,2.6,1.07,1.6,1.2,1.6,3.51
63935,13 06 10.7164,-68 09 34.2962,140.0,6309,8.9353,5.0,1.3,1.9,1.5,2.2,7.0
63936,13 06 12.7597,+13 26 29.0990,180.0,6219,9.4552,5.1,1.3,1.9,1.6,2.2,5.44
63941,13 06 14.4270,+32 20 37.5778,330.0,5915,10.9797,4.3,1.12,2.0,1.5,2.1,3.0
63942,13 06 15.4289,+20 43 44.3899,19.0,4170,9.5124,0.115,0.6,0.65,0.3,0.4,53.18
63944,13 06 16.3466,+02 41 57.0684,150.0,4841,9.1033,6.5,0.75,3.6,2.1,3.0,6.8
63946,13 06 18.3620,-67 44 47.8532,490.0,7108,8.9019,53.0,1.6,4.8,5.0,7.0,2.05
63947,13 06 19.4994,-53 13 05.5069,140.0,5195,9.4242,4.1,0.84,2.5,1.6,2.2,6.92
63948,13 06 21.2831,+21 09 12.6357,50.0,6253,6.0791,7.8,1.3,2.4,1.9,3.0,20.13
63951,13 06 22.7074,+22 16 47.4398,100.0,6905,6.9091,13.0,1.5,2.6,2.4,3.0,10.05
63959,13 06 26.2019,-18 56 58.1317,280.0,6724,8.3937,29.0,1.4,4.0,4.0,5.0,3.58
63962,13 06 27.4318,-56 52 44.7473,240.0,5867,9.4799,9.0,1.09,2.9,2.2,3.0,4.23
63963,13 06 27.8987,-49 15 15.0848,105.0,7041,8.3746,4.3,1.6,1.4,1.3,1.9,9.48
63970,13 06 32.6171,+32 40 00.9025,82.0,6105,10.1822,0.53,1.22,0.65,0.5,0.7,12.19
63971,13 06 33.4955,+33 30 14.7902,260.0,5511,10.9311,2.6,0.94,1.8,1.2,1.7,3.8
63975,13 06 35.8649,-46 02 01.8612,123.0,6955,7.5735,18.0,1.5,2.9,3.0,4.0,8.16
63976,13 06 35.9187,+15 22 26.2482,200.0,6480,9.6,5.18,1.4,1.8,1.5,2.2,4.9
63977,13 06 35.8633,+11 02 40.9088,56.0,5476,8.612,1.14,0.93,1.19,0.8,1.1,17.87
63979,13 06 37.6077,-64 33 36.6156,370.0,6559,9.0965,27.0,1.4,4.0,3.0,5.0,2.73
63982,13 06 39.4014,+28 52 37.0493,120.0,5963,10.9856,0.55,1.14,0.7,0.5,0.7,8.33
63984,13 06 40.3586,+06 26 43.3887,309.0,6292,9.5964,11.4,1.3,2.8,2.3,3.0,3.24
63985,13 06 41.8487,-21 11 00.4256,112.0,6109,8.9208,3.18,1.22,1.6,1.2,1.8,8.96
63987,13 06 45.5961,+38 59 20.4559,330.0,6768,9.6356,13.0,1.5,2.6,2.3,3.0,3.05
63989,13 06 47.0421,+27 12 00.5158,91.0,5625,9.2998,1.5,0.99,1.3,0.9,1.3,10.99
63992,13 06 49.3709,+40 22 26.3434,130.0,5708,10.1246,1.3,1.0,1.17,0.8,1.2,7.96
